expense_intent,expense,transaction_value
Food & Drink,Restaurant delivery. Rs 15.96,15.96
Food & Drink,I got some Mexican food via DoorDash. Rs 26.54,26.54
Food & Drink,Food at Wendy's. Rs 5.39,5.39
Food & Drink,Food at Burger King. Rs 23.27,23.27
Food & Drink,I got ice cream from Wendy's. Rs 4.69,4.69
Food & Drink,This was an alcohol purchase on an Allegiant Airlines flight. Rs 15,15
Food & Drink,Liquor. Rs 8.3,8.3
Entertainment,Gem purchase in the game Guild Wars 2. Rs 21.25,21.25
Food & Drink,This is a bar. Rs 10.63,10.63
Food & Drink,A coffee from McDonald's. Rs 1.29,1.29
Food & Drink,I had McDonald's for lunch. Rs 12.53,12.53
Food & Drink,I got some Dairy Queen using DoorDash. Rs 29.9,29.9
Food & Drink,I got some Subway sandwiches. Rs 18.2,18.2
Food & Drink,I ordered food off of UberEats. I believe it was a restaurant. Rs 33.93,33.93
Food & Drink,Iced coffee at Dunkin Donuts. Rs 3.41,3.41
Food & Drink,Purchased tea from Kung Fu Tea. Rs 24.37,24.37
Food & Drink,I purchased ice cream at ice cream shop. Rs 16.4,16.4
Food & Drink,Ordered dinner from T-Swirl Crepe restaurant through Seamless delivery service. Rs 43.93,43.93
Food & Drink,"I ordered some Qdoba, which is a restaurant chain. Rs 26.54",26.54
Entertainment,Made an in-app purchase. Rs 5.3,5.3
Food & Drink,This is reloading my Starbucks funds on the mobile app. Rs 25,25
Food & Drink,This is for the purchase of two coffees and a croissant. Rs 15.23,15.23
Food & Drink,I ordered some food from McDonald's. Rs 33.95,33.95
Food & Drink,I got some Taco Bell from DoorDash. Rs 23.5,23.5
Food & Drink,Purchased groceries from Walmart Supercenter. Rs 15.18,15.18
Food & Drink,I bought breakfast at a nearby McDonald’s. Rs 6.87,6.87
Food & Drink,Ordered food from DoorDash. Rs 16.68,16.68
Entertainment,Fortnite Crew pass from Epic Games. Rs 12.74,12.74
Food & Drink,This is for coffee drinks. Rs 14.32,14.32
Food & Drink,I had McDonald's delivered. Rs 27.49,27.49
Entertainment,Videogame from steam. Rs 5.59,5.59
Food & Drink,Coffees from Starbucks. Rs 7.15,7.15
Food & Drink,Got some Pizza Hut for my brother and I. Rs 33.01,33.01
Food & Drink,Purchased groceries at supermarket. Rs 81.9,81.9
Food & Drink,This was for a boba tea. Rs 5.57,5.57
Food & Drink,Coffee and muffins at Starbucks. Rs 11.5,11.5
Food & Drink,I wanted some coffee in the morning. This is a coffee stand. Rs 17.19,17.19
Food & Drink,I bought a drink an alcoholic drink at the Walgreens in Vegas. Rs 4.32,4.32
Food & Drink,This is for the purchase of iced tea. Rs 5.81,5.81
Food & Drink,Hadn't had Chipotle in a while so I wanted to have some delivered by DoorDash. Rs 18.89,18.89
Food & Drink,"I got some Dairy Queen, which is a restaurant. Rs 33.03",33.03
Food & Drink,Purchased a drink from Starbucks. Rs 4.76,4.76
Food & Drink,This was for groceries. Rs 20.38,20.38
Food & Drink,I bought groceries. Rs 34.17,34.17
Food & Drink,I got McDonald's again. I get food from there quite a bit when I can. Rs 25.76,25.76
Food & Drink,Weekly meal service kit delivery. Rs 40.66,40.66
Food & Drink,I ordered Chick-Fil A through DoorDash. Rs 25.32,25.32
Food & Drink,Supermarket purchase of groceries. Rs 101.96,101.96
Food & Drink,Purchase at Dollar General. Rs 17,17
Food & Drink,I bought some groceries from Safeway using DoorDash. Rs 132.33,132.33
Food & Drink,I ordered delivered grocery items via GoPuff. Rs 26,26
Food & Drink,Purchased groceries from Whole Foods via Amazon Prime membership. Rs 39.36,39.36
Food & Drink,I bought groceries for the week!. Rs 70.65,70.65
Food & Drink,I bought groceries. Rs 8.61,8.61
Food & Drink,Pudding from Amazon. Rs 10.61,10.61
Food & Drink,I bought some grocery items from 7/11. Rs 19.02,19.02
Food & Drink,Items from the supermarket. Rs 4,4
Food & Drink,Walmart grocery purchase. Rs 4,4
Food & Drink,I had groceries delivered. Rs 58.46,58.46
Food & Drink,Walmart delivery tip. Rs 7,7
Food & Drink,I spent some money on groceries. Rs 8.72,8.72
Food & Drink,This is for bulk groceries. Rs 92.08,92.08
Food & Drink,This was for a few groceries. Rs 18.53,18.53
Food & Drink,Grocery purchase with cash back at register. Rs 177.7,177.7
Food & Drink,I bought some groceries. Rs 44.18,44.18
Food & Drink,Grocery delivery fees. Rs 14.07,14.07
Food & Drink,This was from a grocery store trip. Rs 127.18,127.18
Food & Drink,I bought an energy drink at Target. Rs 4.61,4.61
Food & Drink,Bought groceries on Amazon. Rs 40.96,40.96
Food & Drink,I bought candy on Amazon. Rs 41.57,41.57
Food & Drink,I ordered some groceries using a delivery service. Rs 60.56,60.56
Food & Drink,Got some groceries from Dollar Tree. Rs 12.83,12.83
Food & Drink,Walmart grocery purchase. Rs 25.29,25.29
Food & Drink,Groceries at Stop & Shop. Rs 52.61,52.61
Food & Drink,A top up shop for small items from the supermarket. Rs 7,7
Food & Drink,I ordered some groceries. Rs 15.73,15.73
Food & Drink,This is for groceries. Rs 8.39,8.39
Food & Drink,I went to a grocery store to get a few things. Rs 12.81,12.81
Food & Drink,This was for a couple of items from the supermarket I'd ran out of. Rs 2.29,2.29
Food & Drink,I spent some money on groceries. Rs 74.7,74.7
Food & Drink,I bought some groceries items from 7/11. Rs 16.15,16.15
Food & Drink,Grocery purchase at Aldi. Rs 72.19,72.19
Food & Drink,I got a couple of food items at the Dollar Tree near me. Rs 10.33,10.33
Food & Drink,I bought a few energy drinks. Rs 6.96,6.96
Food & Drink,I got some coffee from a coffee shop. Rs 17.19,17.19
Food & Drink,This is a grocery store where I purchased a few items. Rs 12.81,12.81
Food & Drink,Grocery shopping. Rs 32.23,32.23
Food & Drink,This is a dessert place!. Rs 23.5,23.5
Entertainment,Money spent on a video game I play. Rs 2.99,2.99
Food & Drink,This is for ice cream. Rs 6.47,6.47
Food & Drink,I got some Burger King using DoorDash. Rs 21.91,21.91
Food & Drink,Groceries from Publix. Rs 10.68,10.68
Food & Drink,I ordered some Chipotle using DoorDash. Rs 18.71,18.71
Bank Transfers,Money transferred to a share dealing account in order to buy some shares. Rs 500,500
Entertainment,Monthly payment for my Netflix account. Rs 19.99,19.99
Entertainment,I made my monthly payment for my Peacock streaming service. Rs 4.99,4.99
Bank Transfers,ATM fees. Rs 3,3
Bank Transfers,"Money I transferred to my joint account with my wife. Rs 2,200.00","2,200.00"
Entertainment,Patreon membership. Rs 3,3
Bank Transfers,Deposit from Capital One checking to Capital One savings. Rs 100,100
Bank Transfers,Transfer between accounts. Rs 787.47,787.47
Entertainment,Charged for streaming service add-ons. Rs 10.61,10.61
Entertainment,This is for a purchase of a video game. Rs 5,5
Entertainment,Used PayPal to pay for Disney+. Rs 8.8,8.8
Entertainment,Tokens for mobile game through Google Play. Rs 5.3,5.3
Bank Transfers,"Transfer from savings to checking. Rs 1,000.00","1,000.00"
Entertainment,Microtransaction for a videogame via Stream. Rs 3.74,3.74
Entertainment,I rented a movie on Prime video. Rs 3.24,3.24
Bank Transfers,From Savings to Checkings account. Rs 160,160
Entertainment,This is a music subscription. Rs 17.31,17.31
Bank Transfers,Transfer from savings account to checking account. Rs 180,180
Entertainment,Payment for streaming service. Rs 11.31,11.31
Entertainment,This is a charge for a film streamed via Amazon Prime Video. Rs 1.99,1.99
Entertainment,Monthly Spotify subscription service. Rs 10.69,10.69
Entertainment,Streaming service charges. Rs 4.99,4.99
Entertainment,This is for the Netflix streaming service. Rs 19.81,19.81
Entertainment,Paid monthly subscription to Netflix. Rs 16.57,16.57
Entertainment,Money spent on a video game. Rs 4.99,4.99
Bank Transfers,Electronic transfer of $10 to TD Ameritrade. Rs 10,10
Bank Transfers,I transferred funds to another checking account. Rs 300,300
Entertainment,Monthly membership for online gaming site. Rs 24.95,24.95
Bank Transfers,Transfer from one checking account to another. Rs 250,250
Bank Transfers,Transfer money from savings to checking. Rs 100,100
Entertainment,Fees for Paramount+ streaming service. Rs 4.99,4.99
Entertainment,Recurring Spotify monthly subscription fee. Rs 11.3,11.3
Entertainment,I paid for a streaming service off of Prime Video that wasn't Prime Video. Rs 5.49,5.49
Entertainment,Youtube TV monthly streaming service. Rs 64.99,64.99
Bank Transfers,"I transferred money into another account. Rs 1,101.20","1,101.20"
